Date,Time,Club,Club Head Speed (mph),Ball Speed (mph),Launch Angle (deg),Launch Direction (deg),Total Spin (rpm),Carry Distance (yd),Total Distance (yd),Smash Factor,Accuracy (yd),Peak Height (yd)
"2024-07-26","15:22:36","Driver","113.1","164.7","15.0","3.3","3474","275.5","280.0","1.456","-7.1","150.1"
"2024-10-12","19:24:27","6H","85.5","112.2","20.1","-6.1","5470","145.9","149.6","1.313","-3.4","85.3"
"2024-05-27","09:51:14","7H","83.4","110.1","17.0","3.5","5376","143.4","146.8","1.320","-2.6","110.1"
"2024-11-09","09:45:22","5W","103.2","143.8","19.6","-8.1","4043","235.4","236.9","1.394","-13.5","121.6"
"2024-04-26","09:11:50","3H","91.4","123.5","19.8","-6.0","4206","199.0","196.9","1.350","-19.7","138.1"
"2024-01-17","10:58:09","PW","80.0","96.3","43.2","-8.6","8147","135.1","135.6","1.205","7.2","100.0"
"2024-04-17","06:33:13","Driver","99.6","146.7","15.5","13.1","2806","238.4","237.9","1.472","17.4","135.6"
"2024-05-12","11:38:53","9H","83.5","110.1","17.9","7.9","5079","176.1","172.8","1.319","-15.0","111.7"
"2024-09-10","19:56:58","5H","94.2","128.0","20.9","-2.4","4869","172.3","179.9","1.359","4.3","91.2"
"2024-02-18","14:57:55","5H","92.8","122.7","16.3","-5.7","5330","165.8","167.1","1.322","-9.3","100.8"
"2024-04-10","17:42:02","9H","94.6","124.6","18.3","-2.1","5312","150.5","153.9","1.317","-9.4","114.7"
"2024-03-12","16:53:47","3W","95.6","133.0","21.7","3.9","3862","214.0","213.1","1.391","4.2","122.0"
"2024-01-03","11:27:15","7H","93.5","124.9","22.3","8.0","6018","161.6","159.4","1.336","0.4","102.9"
"2024-06-18","09:35:44","3H","98.6","136.1","14.5","-4.4","3536","208.7","211.5","1.380","15.4","138.1"
"2024-12-15","08:57:12","3H","91.3","125.9","17.8","7.3","4076","197.4","196.1","1.378","-16.4","127.3"
"2024-09-07","18:40:07","3H","94.5","129.6","16.2","-1.2","4054","205.8","214.0","1.372","-4.1","147.8"
"2024-10-13","16:15:17","PW","76.0","92.3","42.6","-9.2","7923","125.5","129.8","1.215","8.9","69.2"
"2024-02-14","15:16:07","Driver","114.3","169.6","17.8","-4.3","3475","248.0","252.3","1.483","10.0","198.3"
"2024-04-10","13:56:47","9H","84.0","110.5","18.9","3.0","6016","171.7","171.9","1.316","-16.5","114.6"
"2024-12-03","07:12:46","Driver","102.0","150.4","11.8","14.6","2004","251.5","258.3","1.475","-19.3","145.1"
"2024-11-17","11:44:52","LW","69.9","77.3","50.4","9.3","9922","88.9","85.4","1.106","5.8","61.2"
"2024-07-18","12:57:11","5H","91.7","124.1","15.0","7.0","4741","181.5","187.7","1.354","0.2","102.7"
"2024-09-05","19:19:06","6H","93.9","123.6","23.1","-4.7","5710","159.1","169.0","1.317","4.0","120.2"
"2024-11-02","12:35:14","7H","92.3","120.7","17.8","1.5","5740","170.5","178.0","1.308","-12.6","124.4"
"2024-02-15","10:02:08","PW","82.4","99.1","42.9","-8.6","9688","137.5","139.3","1.202","16.3","85.5"
"2024-09-21","09:19:15","GW","75.1","88.9","47.4","7.5","9631","103.7","113.4","1.184","17.6","76.8"
"2024-09-07","13:27:07","8H","84.5","111.2","16.3","4.7","5556","160.6","165.6","1.317","-6.7","109.8"
"2024-11-06","08:22:36","5W","92.8","128.7","17.9","-8.4","3922","201.4","203.8","1.387","-9.5","113.8"
"2024-06-10","17:00:21","Driver","110.5","161.5","14.1","-9.5","3690","235.5","233.2","1.461","0.1","181.9"
"2024-08-27","12:55:53","9H","85.2","114.0","20.4","7.2","5342","156.2","158.1","1.338","-11.4","91.2"
"2024-02-23","10:38:47","PW","78.7","94.9","43.0","9.6","9975","135.0","140.9","1.205","16.8","78.3"
"2024-08-13","19:47:30","3W","92.0","131.1","12.7","-2.9","3592","219.8","216.2","1.424","16.9","163.4"
"2024-12-12","14:19:04","8H","90.2","117.4","21.3","10.5","5952","138.7","139.5","1.302","16.2","87.3"
"2024-11-04","15:20:15","7H","92.7","123.2","22.2","-13.8","5194","161.8","166.3","1.329","19.8","116.4"
"2024-02-25","18:19:02","Driver","95.1","140.8","11.6","-14.1","4248","271.6","272.9","1.480","10.8","193.2"
"2024-04-01","09:23:19","8H","93.6","124.7","17.2","-5.1","5616","169.4","168.0","1.333","0.7","99.5"
"2024-12-04","07:36:32","4H","92.0","123.4","16.1","4.2","4336","152.9","161.0","1.341","-12.2","117.2"
"2024-09-21","18:27:41","8H","88.1","117.8","19.3","5.5","5135","145.3","147.4","1.337","-6.1","75.8"
"2024-06-03","09:41:34","5H","89.9","120.5","20.6","-9.1","4248","157.6","164.8","1.341","-1.6","87.4"
"2024-10-09","12:28:36","3W","102.2","144.1","12.4","9.4","4940","211.3","221.0","1.411","-8.6","107.3"
"2024-03-06","18:10:12","SW","74.7","86.5","54.8","8.2","8523","114.2","110.0","1.157","-17.9","84.3"
"2024-10-23","07:53:00","SW","70.0","81.2","52.4","11.7","9733","111.4","114.2","1.161","-1.0","65.9"
"2024-09-09","06:23:35","3W","97.4","135.8","18.3","11.2","3941","214.6","219.5","1.394","-10.9","156.7"
"2024-10-01","13:23:30","3W","90.2","127.7","21.8","-0.3","3220","226.6","223.8","1.416","1.0","180.4"
"2024-04-24","10:57:36","6H","92.6","123.9","21.0","13.9","6411","148.3","149.6","1.338","-12.4","111.4"
"2024-12-09","08:41:24","9H","86.7","113.2","18.3","-4.4","5887","176.9","178.9","1.306","-10.1","141.3"
"2024-08-04","15:47:03","PW","79.7","98.7","42.7","-11.0","7681","128.5","137.0","1.238","2.6","93.9"
"2024-01-26","11:31:40","5W","96.7","138.0","16.3","11.2","3980","193.1","202.5","1.426","-13.1","132.3"
"2024-05-23","17:02:37","3W","102.6","141.9","12.2","1.9","3308","223.5","229.9","1.384","-6.6","132.3"
"2024-07-03","09:05:40","6H","86.0","114.2","18.0","4.6","5081","146.5","156.0","1.329","-10.2","117.0"
"2024-05-01","14:38:26","9H","93.6","124.6","18.8","-13.4","5387","165.6","170.9","1.332","-3.7","86.2"
"2024-05-14","09:53:06","6H","88.1","116.3","20.2","2.9","6017","160.2","157.2","1.321","7.2","100.7"
"2024-09-03","16:45:16","5W","90.8","125.5","14.0","9.8","3405","179.9","178.3","1.383","9.2","132.6"
"2024-09-03","14:54:15","PW","81.8","98.3","44.7","-12.4","8448","133.3","128.4","1.202","-8.6","80.7"
"2024-06-18","09:03:26","4H","95.2","129.4","19.2","11.6","4426","147.8","154.0","1.359","-9.6","75.3"
"2024-08-02","06:57:35","3H","99.6","137.1","19.1","-3.5","4293","180.6","180.2","1.377","7.9","117.5"
"2024-10-17","16:51:23","7H","91.5","121.1","21.4","2.9","4829","169.0","178.8","1.324","6.7","113.3"
"2024-05-12","14:50:26","7H","84.3","110.1","23.9","4.3","6477","171.2","174.3","1.306","4.8","89.8"
"2024-07-24","14:41:09","SW","75.6","88.9","49.5","-12.3","8956","91.1","92.4","1.175","-13.3","46.9"
"2024-11-27","07:19:58","5H","92.7","122.7","22.3","-11.0","5410","170.3","177.7","1.324","-19.9","118.8"
"2024-09-01","06:47:57","5H","87.7","118.3","18.1","-5.6","5314","159.9","166.8","1.349","2.6","107.3"
"2024-02-09","17:26:15","5W","92.1","130.5","17.0","-11.4","3788","199.6","195.7","1.417","-3.8","144.7"
"2024-11-05","13:14:42","5H","85.3","115.3","16.3","2.4","4883","166.6","161.7","1.352","9.9","94.2"
"2024-10-13","12:40:46","GW","71.9","82.8","53.9","-9.7","9585","96.6","105.4","1.152","-8.3","58.7"
"2024-11-15","17:47:40","3H","91.2","125.2","18.3","10.5","3968","187.0","192.9","1.372","-13.3","123.4"
"2024-07-18","18:59:54","2H","90.8","124.0","18.5","11.7","3822","171.8","179.8","1.365","-1.8","100.3"
"2024-05-27","13:16:55","2H","93.1","127.7","21.8","-2.5","5277","186.0","186.9","1.371","6.7","95.5"
"2024-06-26","17:03:21","LW","66.8","74.4","55.0","-6.8","10254","74.0","73.8","1.114","-11.1","48.0"
"2024-07-25","18:51:32","5H","88.8","117.9","20.0","11.4","4218","181.5","179.9","1.327","15.0","130.7"
"2024-12-18","07:28:36","GW","74.6","88.3","47.4","-3.9","9316","93.9","97.0","1.183","4.6","48.8"
"2024-10-22","14:49:00","Driver","108.1","157.2","19.5","-10.7","3411","273.2","271.7","1.454","18.5","144.0"
"2024-04-01","15:54:19","2H","94.8","129.0","16.4","2.3","4526","174.4","172.2","1.360","-9.4","102.0"
"2024-11-10","18:06:16","9H","91.0","121.0","19.9","-9.5","4635","136.5","133.2","1.330","-5.6","90.8"
"2024-12-01","16:35:16","5W","101.1","139.5","21.6","-3.3","3204","235.0","234.7","1.381","7.7","159.6"
"2024-01-19","10:11:44","5W","96.7","136.7","18.7","0.2","4175","226.7","232.0","1.414","19.2","122.9"
"2024-10-21","06:37:20","3H","100.3","137.4","17.6","14.9","4405","193.2","194.8","1.370","-14.7","141.6"
"2024-09-03","06:27:17","9H","85.9","112.1","21.4","-2.0","5649","138.6","143.9","1.305","3.2","87.8"
"2024-08-17","12:29:13","SW","70.8","84.5","45.2","-1.6","8791","95.2","95.5","1.193","-13.0","72.9"
"2024-02-22","19:14:54","2H","89.5","122.3","14.6","10.7","4488","161.2","164.4","1.366","4.1","121.5"
"2024-11-02","17:30:41","5H","93.1","124.7","19.3","8.0","4281","160.2","162.7","1.339","-16.6","102.9"
"2024-06-27","08:31:35","3H","89.4","124.5","20.3","-14.0","5234","170.5","171.5","1.393","-1.3","134.3"
"2024-07-07","18:48:49","6H","90.4","120.7","23.7","6.7","6265","134.3","132.4","1.335","14.1","80.0"
"2024-09-01","12:39:46","6H","93.5","124.4","20.7","-12.0","4898","149.4","158.8","1.330","-2.9","75.0"
"2024-08-16","07:16:24","2H","96.7","132.7","19.2","1.1","3725","176.2","171.8","1.372","-12.7","131.7"
"2024-12-15","08:14:54","5W","93.8","129.6","13.7","9.5","3930","213.0","212.4","1.382","6.7","113.7"
"2024-06-20","15:27:50","5W","93.5","130.6","15.4","9.1","4357","191.2","198.8","1.396","4.7","107.6"
"2024-12-24","17:55:22","PW","75.4","91.0","44.0","-2.3","7860","120.0","124.3","1.206","-8.3","61.0"
"2024-10-12","06:19:10","9H","89.1","118.5","23.6","-6.7","6344","166.6","173.2","1.330","8.5","116.2"
"2024-03-03","09:19:55","5H","91.8","123.0","16.3","-5.4","4246","161.8","165.6","1.339","-3.1","128.1"
"2024-05-19","16:30:53","LW","62.7","71.5","51.2","10.8","10778","70.3","68.2","1.139","-2.2","39.5"
"2024-05-18","15:44:05","6H","84.2","110.5","23.1","-1.8","5341","165.1","175.0","1.312","-6.3","119.7"
"2024-05-07","18:28:11","GW","68.5","81.4","45.3","-9.8","9389","106.9","116.4","1.189","-4.2","72.1"
"2024-07-22","08:07:09","6H","92.1","120.5","19.9","0.0","5335","156.4","163.2","1.308","11.8","86.9"
"2024-11-22","06:43:14","SW","72.0","84.0","45.8","-10.6","9635","89.9","97.7","1.167","6.3","55.7"
"2024-02-02","11:41:54","4H","87.6","118.8","16.1","3.9","4505","142.2","149.4","1.356","8.9","113.4"
"2024-09-19","08:43:00","GW","72.1","84.2","52.8","6.1","9877","105.9","106.8","1.167","13.0","76.5"
"2024-12-14","08:23:31","7H","85.0","112.7","21.7","-8.0","4888","151.6","152.7","1.326","18.7","105.2"
"2024-03-24","19:57:06","4H","94.3","128.1","22.9","4.6","4956","168.6","175.1","1.358","10.7","121.9"
"2024-07-17","16:01:43","7H","88.1","116.6","22.9","-8.8","6090","168.6","167.1","1.323","18.5","113.5"
"2024-01-12","06:01:49","2H","99.0","134.2","21.6","-3.1","4071","157.7","162.2","1.355","12.4","97.0"
"2024-02-26","16:43:20","4H","86.1","117.0","17.5","-7.2","4779","147.0","142.3","1.358","-16.1","80.2"
"2024-08-07","16:20:47","3H","94.3","128.9","20.6","-10.5","4373","189.3","196.4","1.368","-17.6","149.6"
"2024-01-10","14:32:05","4H","89.4","121.1","20.4","14.9","4462","160.1","156.1","1.355","-1.9","105.7"
"2024-01-07","06:07:22","3H","99.3","135.8","20.5","-13.0","3681","184.1","180.2","1.367","-7.1","147.1"
"2024-06-17","13:29:46","GW","69.0","81.1","48.1","-3.3","9560","91.0","92.8","1.175","-0.5","47.5"
"2024-01-07","07:03:49","3H","96.8","135.1","15.7","12.7","4285","207.2","213.0","1.396","-15.7","148.5"
"2024-12-23","11:27:13","SW","73.9","87.6","47.0","8.0","9405","113.8","109.2","1.185","3.5","70.4"
"2024-11-07","06:21:47","5H","86.9","115.9","20.1","11.0","3982","151.2","159.0","1.333","-12.7","76.4"
"2024-12-25","19:27:50","7H","89.1","119.0","18.7","-10.2","5528","157.0","161.3","1.336","1.1","96.0"
"2024-06-08","15:49:02","3H","88.5","120.0","20.7","8.2","4466","159.7","158.2","1.356","-18.3","116.6"
"2024-10-25","11:31:17","4H","88.3","119.0","16.3","2.1","5535","149.5","146.1","1.347","-7.6","88.3"
"2024-03-04","14:59:48","3H","92.4","128.9","16.6","-9.8","4802","213.8","211.7","1.394","8.2","111.7"
"2024-04-06","06:22:47","PW","78.5","97.3","43.5","4.9","7755","126.2","128.5","1.240","11.5","93.7"
"2024-04-11","14:30:32","3W","101.6","140.5","12.8","7.5","4587","229.6","236.3","1.383","-19.2","126.4"
"2024-12-28","14:40:01","Driver","103.3","152.2","20.0","-10.5","4270","281.2","288.5","1.473","5.8","158.7"
"2024-06-14","15:34:10","GW","70.3","81.1","46.4","1.6","8592","99.3","99.0","1.154","13.3","65.8"
"2024-11-17","09:08:07","2H","93.6","130.7","19.1","14.6","3653","171.8","172.4","1.397","-7.3","93.5"
"2024-02-13","16:54:25","3W","92.5","128.1","12.1","-0.1","3606","195.4","199.8","1.385","-18.0","139.1"
"2024-12-19","16:40:46","7H","90.5","118.4","16.0","3.8","5474","170.2","166.8","1.309","7.0","123.9"
"2024-11-16","08:27:04","SW","70.0","81.7","51.1","5.1","9106","91.3","87.5","1.167","19.2","63.6"
"2024-02-14","10:12:57","PW","79.8","98.1","42.7","5.6","8435","120.5","128.3","1.229","4.0","63.9"
"2024-07-09","08:46:35","6H","93.1","122.4","19.8","5.6","4554","134.7","144.1","1.314","-18.7","80.2"
"2024-11-12","06:24:43","7H","90.3","118.5","18.9","-8.9","4628","137.2","143.9","1.313","7.6","96.0"
"2024-02-06","06:38:05","Driver","103.0","149.3","16.2","-3.1","4468","258.0","255.3","1.450","13.0","175.1"
"2024-04-28","13:54:19","5H","95.6","128.8","20.3","-6.8","3819","186.7","184.2","1.346","5.9","138.1"
"2024-07-07","06:11:32","3W","95.1","132.5","21.8","-11.8","3274","187.0","185.6","1.392","14.7","138.1"
"2024-06-08","07:26:19","GW","72.5","84.5","54.7","-12.3","10409","95.5","105.1","1.166","-19.2","67.8"
"2024-07-10","16:12:03","3H","89.1","122.9","19.7","8.1","4200","164.4","169.5","1.381","-13.4","98.6"
"2024-05-27","06:49:45","SW","73.1","86.0","52.5","10.3","8885","89.2","86.9","1.177","15.7","60.5"
"2024-01-16","12:40:12","5H","87.4","117.3","21.7","3.8","5196","167.2","164.4","1.342","1.4","86.0"
"2024-05-01","10:46:22","5W","91.0","126.2","20.1","4.0","4649","187.7","193.8","1.386","8.1","129.9"
"2024-12-10","10:36:48","8H","86.5","115.2","20.6","10.9","5677","154.8","151.3","1.331","14.7","94.6"
"2024-11-17","12:32:45","2H","94.3","128.3","14.6","2.9","3517","187.8","186.9","1.360","0.7","113.3"
"2024-12-14","18:53:50","3H","100.5","136.8","18.3","-8.9","3632","211.3","208.6","1.361","4.8","163.0"
"2024-10-21","18:09:37","LW","65.6","72.5","59.3","-1.0","9799","73.8","78.7","1.105","-18.4","53.8"
"2024-12-09","06:51:07","Driver","111.2","163.3","12.4","-3.4","2012","255.4","257.4","1.469","-12.3","201.7"
"2024-04-07","19:53:01","SW","71.7","85.3","47.2","8.1","8554","106.1","105.8","1.190","6.7","84.1"
"2024-05-13","08:51:37","5W","94.4","131.7","19.0","-8.2","4253","216.1","223.0","1.395","1.6","158.9"
"2024-07-02","09:23:51","SW","69.5","81.1","50.8","-0.5","9447","100.1","96.7","1.167","-4.6","59.3"
"2024-06-05","08:13:15","2H","94.6","129.6","20.3","-11.5","4099","203.4","208.1","1.370","-9.7","123.4"
"2024-12-05","15:00:23","9H","91.3","119.7","23.1","-6.5","5715","162.7","172.2","1.312","-16.9","119.2"
"2024-03-12","07:09:32","GW","69.4","81.3","51.6","4.4","8507","90.9","99.4","1.172","10.6","66.1"
"2024-05-13","16:47:20","6H","91.6","122.7","21.8","-13.5","6204","166.0","170.3","1.339","-3.0","118.7"
"2024-10-11","10:53:15","LW","67.2","75.2","54.8","-2.6","9553","78.3","80.6","1.118","-7.0","44.2"
"2024-05-19","08:56:05","3H","97.7","135.2","21.3","-8.5","5136","182.3","191.4","1.384","-13.9","135.5"
"2024-06-21","07:18:28","6H","89.9","116.9","19.1","1.9","4820","146.7","142.4","1.300","-15.6","93.9"
"2024-02-13","13:39:54","9H","87.5","116.8","16.1","1.0","5459","146.2","152.3","1.335","7.6","90.0"
"2024-04-01","14:16:09","7H","83.7","111.4","16.7","-1.7","5258","148.9","148.9","1.331","-16.7","89.8"
"2024-07-15","11:19:00","Driver","95.9","140.7","21.2","8.2","3976","272.2","271.5","1.467","-3.8","156.0"
"2024-11-12","18:40:57","SW","73.7","87.6","52.6","-13.8","8526","90.0","97.3","1.189","-18.7","56.9"
"2024-04-10","15:12:09","8H","93.0","123.3","19.4","-2.4","5283","185.5","193.7","1.326","-3.6","127.7"
"2024-07-15","10:56:27","3H","89.9","125.2","14.7","9.8","4074","172.1","177.5","1.392","3.2","125.1"
"2024-01-23","17:01:18","5H","94.2","127.7","21.1","6.0","3929","154.2","158.2","1.357","19.2","77.8"
"2024-02-24","11:54:20","7H","85.1","112.5","18.9","2.6","6239","160.3","155.5","1.322","14.7","125.0"
"2024-03-19","14:20:41","SW","71.1","84.0","51.0","-8.1","9776","89.8","92.0","1.181","0.1","69.2"
"2024-03-06","08:28:01","9H","88.2","118.0","23.4","-10.2","6153","157.5","153.5","1.337","-8.5","123.3"
"2024-09-24","18:41:42","Driver","103.5","151.2","14.9","14.0","4290","229.0","227.0","1.461","0.1","157.2"
"2024-07-12","10:58:01","GW","74.8","88.5","50.2","-5.5","9711","105.4","105.1","1.183","15.4","71.5"
"2024-11-07","17:29:41","7H","86.7","113.2","22.8","6.9","6214","159.4","161.3","1.306","1.6","81.3"
"2024-11-19","15:58:46","5H","89.1","120.6","16.1","9.1","5402","173.7","179.0","1.353","16.8","138.3"
"2024-05-02","17:11:03","4H","87.3","116.1","15.5","6.6","4347","176.8","180.2","1.330","-6.1","94.5"
"2024-05-09","18:45:51","4H","89.5","120.4","22.0","-13.1","4349","160.7","163.6","1.345","-19.1","82.6"
"2024-02-18","11:30:42","2H","89.8","122.1","19.2","6.1","4087","188.5","194.2","1.360","9.0","111.4"
"2024-02-18","13:58:02","8H","86.0","112.5","17.4","-4.6","6299","135.6","145.1","1.308","11.4","74.5"
"2024-03-18","07:19:27","3H","91.7","126.5","19.0","10.1","5048","205.0","210.5","1.380","16.0","143.1"
"2024-11-01","10:38:43","6H","92.4","120.9","18.9","-11.9","6428","158.3","157.3","1.308","3.9","117.0"
"2024-10-18","16:39:27","2H","97.4","132.8","15.3","1.4","3711","195.9","192.1","1.363","3.8","145.9"
"2024-11-09","10:54:55","SW","73.8","86.5","45.2","8.8","9453","109.0","119.0","1.172","13.5","69.5"
"2024-06-26","08:22:04","Driver","103.9","153.0","19.1","8.1","2927","274.1","271.4","1.473","-7.7","197.2"
"2024-03-28","19:46:42","2H","90.4","123.8","14.8","11.9","5326","163.8","164.9","1.369","-14.1","108.6"
"2024-11-28","09:37:35","9H","90.6","119.9","23.4","-3.4","4872","169.6","169.1","1.323","14.0","93.5"
"2024-09-27","19:27:45","GW","75.7","87.9","45.7","-1.0","9537","99.2","94.2","1.162","-16.0","57.7"
"2024-08-21","12:43:39","5W","99.5","140.2","20.4","7.8","3510","190.3","189.7","1.409","10.6","118.6"
"2024-09-15","06:23:50","2H","93.1","125.9","20.3","12.9","3912","183.6","192.9","1.353","-18.2","113.7"
"2024-11-16","08:48:55","PW","75.1","90.3","42.7","9.0","9497","116.0","117.3","1.202","-14.9","87.1"
"2024-07-07","09:47:50","9H","84.9","112.8","16.6","1.6","5050","168.2","170.5","1.328","9.7","103.7"
"2024-04-04","09:36:01","7H","85.8","111.9","18.1","-0.6","4535","149.1","145.5","1.304","11.2","115.3"
"2024-10-12","10:05:41","LW","65.3","72.2","56.9","-10.9","10196","67.1","66.4","1.106","-3.8","34.9"
"2024-08-17","10:01:28","6H","95.5","124.5","17.3","-3.0","4746","147.9","151.6","1.304","15.6","91.3"
"2024-08-21","15:41:41","2H","88.7","121.7","17.1","14.6","4536","174.0","169.2","1.373","19.0","120.9"
"2024-03-20","07:34:14","2H","96.4","131.2","16.4","3.7","3676","195.5","195.1","1.361","-16.5","114.4"
"2024-08-26","17:42:29","3H","89.2","124.8","15.8","11.0","5213","177.4","183.7","1.398","-3.7","89.3"
"2024-07-22","07:05:34","PW","81.1","99.6","44.6","-0.2","9755","139.8","141.4","1.228","14.3","81.9"
"2024-05-06","07:38:21","3W","93.4","128.9","16.7","-14.7","3094","212.1","220.0","1.380","-11.6","159.6"
"2024-05-24","16:25:53","PW","81.5","100.8","47.8","7.5","8951","134.1","139.6","1.236","2.9","77.6"
"2024-03-11","15:52:02","6H","93.9","123.3","16.5","-1.7","5888","170.6","173.2","1.313","-10.4","128.9"
"2024-07-01","12:31:35","SW","74.7","87.4","49.5","5.6","8523","98.4","106.8","1.169","-12.2","51.3"
"2024-04-03","15:23:25","LW","69.0","77.2","56.0","-12.6","10718","87.9","84.5","1.119","8.0","67.1"
"2024-04-09","15:57:40","5H","93.0","124.6","22.6","-2.0","5464","170.6","170.0","1.340","-4.3","116.3"
"2024-06-14","07:39:15","5H","95.9","128.0","21.5","-6.1","4946","164.4","161.8","1.334","-9.8","86.6"
"2024-11-07","13:02:07","9H","85.9","111.8","20.3","-14.2","5868","172.5","179.7","1.302","12.8","121.4"
"2024-03-05","15:46:44","3W","87.9","125.4","19.1","-11.5","4823","247.0","244.6","1.426","6.3","126.3"
"2024-05-17","06:13:50","Driver","113.4","168.4","19.9","-13.2","2893","239.4","237.8","1.485","-5.5","172.4"
"2024-02-24","13:48:14","4H","94.6","128.4","18.2","-2.0","5488","182.3","186.0","1.357","-10.4","95.1"
"2024-06-18","12:05:56","LW","65.4","74.6","50.8","-11.7","9611","67.2","67.9","1.140","13.9","36.4"
"2024-04-11","16:49:13","SW","70.8","81.8","46.6","6.9","10134","114.2","119.3","1.154","-19.4","89.4"
"2024-04-16","06:18:06","9H","92.1","120.1","22.0","-12.7","6496","165.2","161.0","1.304","-14.0","99.0"
"2024-10-14","13:00:03","5H","91.3","122.5","20.8","14.4","3858","184.3","188.3","1.342","-13.8","125.3"
